flight_number,departure_station_code,arrival_station_code,scheduled_departure_dtl,entree_product_id,entree_description,entree_code,planned_entree_count,consumed_entree_count
1066,EWX,MEX,09-09-2022,58764,Mediterranean Falafel Bowl,V,1,0
558,SFX,AUX,11-09-2022,60983,Zatar chicken,C,5,0
1070,LAX,ORX,14-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
402,CLX,LAX,16-09-2022,58981,Scrambled eggs,O,16,8
660,SEX,DEX,16-09-2022,60983,Zatar chicken,C,10,0
1022,EWX,PTX,19-09-2022,60983,Zatar chicken,C,12,10
617,SJX,ORX,22-09-2022,58981,Scrambled eggs,O,10,10
2407,ORX,LAX,24-09-2022,60987,Impossible Meatball Bowl,V,10,5
1184,FLX,EWX,01-09-2022,58981,Scrambled eggs,O,8,0
421,IAX,PUX,01-09-2022,61360,Brioche cheeseburger,B,4,0
1862,ONX,IAX,03-09-2022,60987,Impossible Meatball Bowl,V,6,0
1220,EWX,MCX,04-09-2022,61360,Brioche cheeseburger,B,1,0
1606,LAX,BWX,04-09-2022,60987,Impossible Meatball Bowl,V,12,4
1289,OGX,SFX,04-09-2022,60458,Crispy Hawaiian garlic tofu,V,12,6
408,TPX,ORX,06-09-2022,61524,Scrambled eggs,O,6,4
1923,IAX,INX,08-09-2022,60987,Impossible Meatball Bowl,V,6,6
2070,LAX,IAX,01-09-2022,60983,Zatar chicken,C,24,18
2331,PHX,EWX,06-09-2022,61530,Impossible Meatball Bowl,V,5,1
1661,IAX,SAX,11-09-2022,58019,Belgium waffle,WF,8,8
325,TPX,DEX,02-09-2022,61530,Impossible Meatball Bowl,V,5,3
1134,CUX,IAX,05-09-2022,58110,Vegetarian entree,V,16,13
455,EWX,MSX,06-09-2022,61360,Brioche cheeseburger,B,3,0
308,SEX,EWX,08-09-2022,17185,Gluten-free Meal,GF,2,2
1637,HNX,LAX,09-09-2022,58091,Chicken katsu,C,34,34
562,ORX,MCX,11-09-2022,60983,Zatar chicken,C,10,9
473,SFX,RDX,03-09-2022,58563,Tomato and kale baked egg,E,2,0
569,IAX,SFX,04-09-2022,58766,Gingerbread French Toast,FT,1,0
1156,DEX,INX,04-09-2022,58574,Belgium waffle,WF,6,5
1052,CUX,EWX,05-09-2022,58109,Chicken breast entree,C,12,0
2413,SMX,DEX,08-09-2022,60983,Zatar chicken,C,10,0
1938,DFX,ORX,09-09-2022,61530,Impossible Meatball Bowl,V,5,3
1973,ORX,SFX,15-09-2022,58764,Mediterranean Falafel Bowl,V,2,0
1737,DEX,OGX,17-09-2022,58480,Spaghetti squash noodles,S,6,6
2364,DEX,EWX,18-09-2022,60987,Impossible Meatball Bowl,V,7,6
658,EWX,TPX,19-09-2022,58272,Horchata steel cut oatmeal,OM,1,0
1445,IAX,DCX,19-09-2022,60983,Zatar chicken,C,10,0
1104,DEX,BOX,21-09-2022,58563,Tomato and kale baked egg,E,1,0
1167,SAX,EWX,21-09-2022,60983,Zatar chicken,C,10,0
1199,ORX,CUX,23-09-2022,58019,Belgium waffle,WF,14,0
1827,SFX,DEX,01-09-2022,58981,Scrambled eggs,O,20,0
1662,IAX,PUX,03-09-2022,58981,Scrambled eggs,O,8,5
1836,DEX,YYX,04-09-2022,61530,Impossible Meatball Bowl,V,4,3
2159,EWX,JAX,04-09-2022,60987,Impossible Meatball Bowl,V,8,0
636,EWX,MSX,06-09-2022,60987,Impossible Meatball Bowl,V,5,3
1660,JAX,EWX,05-09-2022,60983,Zatar chicken,C,7,7
2188,SFX,BOX,06-09-2022,58019,Belgium waffle,WF,6,3
1710,ORX,SAX,10-09-2022,58272,Horchata steel cut oatmeal,OM,2,0
1710,ORX,SAX,10-09-2022,58019,Belgium waffle,WF,20,0
1572,IAX,BOX,29-09-2022,61529,Zatar chicken,C,5,5
1870,SFX,IAX,11-09-2022,58019,Belgium waffle,WF,29,0
2204,EWX,LAX,12-09-2022,56447,Kosher Meal,KS,8,3
1641,SFX,ORX,16-09-2022,61360,Brioche cheeseburger,B,14,7
1842,SFX,IAX,24-09-2022,61360,Brioche cheeseburger,B,1,1
1844,MIX,ORX,24-09-2022,61530,Impossible Meatball Bowl,V,5,5
1896,IAX,PHX,26-09-2022,58766,Gingerbread French Toast,FT,4,2
210,IAX,BOX,26-09-2022,61360,Brioche cheeseburger,B,2,0
2614,DEX,EWX,09-09-2022,61360,Brioche cheeseburger,B,6,0
1624,SBX,DEX,13-09-2022,60983,Zatar chicken,C,10,10
299,AUX,SFX,16-09-2022,60987,Impossible Meatball Bowl,V,8,8
212,ATX,SFX,23-09-2022,61530,Impossible Meatball Bowl,V,5,1
2631,SFX,PHX,25-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
540,SFX,OGX,27-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
2642,SAX,EWX,28-09-2022,60983,Zatar chicken,C,22,11
1181,SAX,DEX,29-09-2022,58981,Scrambled eggs,O,16,8
1617,DEX,LAX,01-09-2022,60983,Zatar chicken,C,14,14
2072,IAX,SNX,02-09-2022,61360,Brioche cheeseburger,B,6,0
2446,ORX,PHX,13-09-2022,58981,Scrambled eggs,O,5,5
404,DEX,LAX,13-09-2022,60983,Zatar chicken,C,22,16
2115,SFX,PIX,13-09-2022,61529,Zatar chicken,C,7,0
716,IAX,ORX,13-09-2022,61360,Brioche cheeseburger,B,1,0
753,IAX,DEX,15-09-2022,61360,Brioche cheeseburger,B,3,3
2456,ORX,JAX,16-09-2022,61529,Zatar chicken,C,6,5
2271,DEX,SMX,17-09-2022,61360,Brioche cheeseburger,B,4,0
2035,IAX,SFX,17-09-2022,61360,Brioche cheeseburger,B,3,0
385,DEX,HNX,26-09-2022,58490,Teriyaki chicken,B,17,17
2453,ORX,RNX,02-09-2022,60987,Impossible Meatball Bowl,V,5,4
479,DEX,ORX,17-09-2022,61360,Brioche cheeseburger,B,3,0
1003,DEX,SDX,17-09-2022,61529,Zatar chicken,C,6,2
590,DEX,EUX,18-09-2022,60983,Zatar chicken,C,6,0
1125,DEX,SMX,22-09-2022,58981,Scrambled eggs,O,6,0
641,YVX,DEX,22-09-2022,58090,Classic selection cheese tray,O,16,0
2384,PHX,DEX,24-09-2022,58981,Scrambled eggs,O,8,8
2014,SFX,ORX,26-09-2022,58981,Scrambled eggs,O,16,16
1476,IAX,DEX,30-09-2022,61360,Brioche cheeseburger,B,8,4
1869,YVX,ORX,07-09-2022,60983,Zatar chicken,C,12,11
1191,GDX,IAX,07-09-2022,58106,Savory breakfast entree,BR,5,0
1724,SFX,KOX,08-09-2022,58764,Mediterranean Falafel Bowl,V,1,0
2128,DEX,ATX,09-09-2022,60983,Zatar chicken,C,9,9
2391,LAX,IAX,09-09-2022,61360,Brioche cheeseburger,B,4,0
1276,SEX,IAX,14-09-2022,56490,Kosher Meal,KS,2,0
344,BWX,IAX,15-09-2022,61524,Scrambled eggs,O,6,5
793,LAX,EWX,15-09-2022,53014,Thai chicken,C,22,9
2105,DCX,DEX,16-09-2022,60983,Zatar chicken,C,20,6
1759,DEX,KOX,16-09-2022,56495,Kosher Meal,KS,1,0
721,DEX,YYX,24-09-2022,61529,Zatar chicken,C,5,3
1102,ORX,IAX,02-09-2022,58563,Tomato and kale baked egg,E,2,0
2250,ORX,BZX,03-09-2022,61529,Zatar chicken,C,6,0
600,BZX,SFX,04-09-2022,61529,Zatar chicken,C,7,0
480,CVX,DEX,04-09-2022,61529,Zatar chicken,C,7,5
355,IAX,DCX,04-09-2022,61529,Zatar chicken,C,8,5
1848,MIX,ORX,06-09-2022,61524,Scrambled eggs,O,6,6
1634,IAX,ORX,07-09-2022,60983,Zatar chicken,C,18,8
2231,ORX,DFX,07-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
797,IAX,LAX,11-09-2022,61524,Scrambled eggs,O,6,0
1022,EWX,PTX,11-09-2022,61360,Brioche cheeseburger,B,2,2
1750,SFX,OGX,13-09-2022,53014,Thai chicken,C,14,14
2452,SAX,SFX,27-09-2022,58981,Scrambled eggs,O,16,8
1736,LAX,EWX,01-09-2022,60987,Impossible Meatball Bowl,V,6,0
1676,PDX,DEX,04-09-2022,60987,Impossible Meatball Bowl,V,6,6
1863,ANX,DEX,04-09-2022,60983,Zatar chicken,C,12,12
633,IAX,LAX,06-09-2022,60549,Vegetarian chili and polenta cake,V,3,0
797,IAX,LAX,08-09-2022,58019,Belgium waffle,WF,8,7
2455,TPX,DEX,09-09-2022,58019,Belgium waffle,WF,8,0
1766,SFX,DFX,14-09-2022,61530,Impossible Meatball Bowl,V,4,3
504,IAX,ORX,01-09-2022,60983,Zatar chicken,C,11,6
1955,DCX,IAX,01-09-2022,61530,Impossible Meatball Bowl,V,5,0
1406,BZX,IAX,02-09-2022,60983,Zatar chicken,C,10,0
2218,IAX,MIX,05-09-2022,58764,Mediterranean Falafel Bowl,V,2,2
1127,LAX,EWX,05-09-2022,60987,Impossible Meatball Bowl,V,16,6
1272,SFX,MEX,05-09-2022,61360,Brioche cheeseburger,B,1,0
723,ORX,FLX,07-09-2022,58766,Gingerbread French Toast,FT,2,0
330,DEX,BNX,07-09-2022,58764,Mediterranean Falafel Bowl,V,1,0
1537,IAX,EWX,08-09-2022,58766,Gingerbread French Toast,FT,1,0
1658,EWX,SNX,08-09-2022,58766,Gingerbread French Toast,FT,1,0
2676,IAX,LAX,09-09-2022,60987,Impossible Meatball Bowl,V,12,12
2344,RSX,DEX,10-09-2022,60983,Zatar chicken,C,10,0
2246,ORX,SAX,13-09-2022,60983,Zatar chicken,C,9,9
2045,EWX,DEX,02-09-2022,60987,Impossible Meatball Bowl,V,5,2
1685,SFX,LIX,05-09-2022,60458,Crispy Hawaiian garlic tofu,V,4,0
1856,IAX,FLX,07-09-2022,58764,Mediterranean Falafel Bowl,V,1,2
1195,ORX,SEX,07-09-2022,58019,Belgium waffle,WF,10,6
1778,EWX,IAX,09-09-2022,60983,Zatar chicken,C,8,6
1856,IAX,FLX,13-09-2022,60983,Zatar chicken,C,16,8
1631,SEX,DEX,13-09-2022,60983,Zatar chicken,C,12,0
331,LAX,ORX,14-09-2022,60987,Impossible Meatball Bowl,V,6,0
414,IAX,MCX,19-09-2022,58563,Tomato and kale baked egg,E,4,2
1937,IAX,MSX,19-09-2022,60983,Zatar chicken,C,10,0
2498,SEX,ORX,24-09-2022,60987,Impossible Meatball Bowl,V,16,4
2372,DFX,SFX,26-09-2022,58574,Belgium waffle,WF,6,4
2240,DEX,SFX,27-09-2022,60983,Zatar chicken,C,9,5
701,ORX,DEX,28-09-2022,61360,Brioche cheeseburger,B,4,2
1662,IAX,PUX,01-09-2022,58981,Scrambled eggs,O,10,6
787,DEX,SBX,02-09-2022,61529,Zatar chicken,C,7,4
1798,IAX,YVX,02-09-2022,58019,Belgium waffle,WF,11,8
1739,IAX,LAX,04-09-2022,61360,Brioche cheeseburger,B,1,0
2293,EWX,DEX,06-09-2022,58981,Scrambled eggs,O,24,0
2657,IAX,SNX,17-09-2022,60983,Zatar chicken,C,8,3
1246,EWX,MSX,27-09-2022,61360,Brioche cheeseburger,B,2,0
2085,ORX,SFX,28-09-2022,60987,Impossible Meatball Bowl,V,5,2
2328,ORX,SFX,28-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
1530,SFX,SAX,30-09-2022,61530,Impossible Meatball Bowl,V,4,2
1722,SFX,KOX,04-09-2022,58766,Gingerbread French Toast,FT,1,0
517,LAX,JFX,07-09-2022,58785,"ENT, BREAKFAST LIGHT REFRESHMENT",O,32,32
2415,DEX,SBX,16-09-2022,61529,Zatar chicken,C,7,4
490,DEX,IAX,19-09-2022,60987,Impossible Meatball Bowl,V,9,4
2478,EWX,SMX,02-09-2022,60987,Impossible Meatball Bowl,V,6,6
2087,IAX,LAX,07-09-2022,61360,Brioche cheeseburger,B,6,6
1811,SFX,DEX,08-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
1549,IAX,DEX,11-09-2022,60983,Zatar chicken,C,22,10
1034,PTX,IAX,13-09-2022,58109,Chicken breast entree,C,12,0
1859,IAX,AUX,15-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
779,DEX,PDX,18-09-2022,58563,Tomato and kale baked egg,E,1,0
1167,SAX,EWX,18-09-2022,60987,Impossible Meatball Bowl,V,6,0
598,EWX,LAX,19-09-2022,53106,ASIAN VEGETARIAN MEAL,AV,2,2
1682,SFX,CMX,06-09-2022,61360,Brioche cheeseburger,B,2,0
592,SEX,EWX,08-09-2022,60987,Impossible Meatball Bowl,V,8,9
549,BWX,DEX,09-09-2022,58981,Scrambled eggs,O,10,9
1153,DEX,MSX,11-09-2022,58574,Belgium waffle,WF,3,0
2684,ORX,SAX,14-09-2022,61530,Impossible Meatball Bowl,V,3,0
1472,EWX,SDX,15-09-2022,60983,Zatar chicken,C,11,8
708,IAX,SJX,16-09-2022,61360,Brioche cheeseburger,B,4,0
1288,SFX,BOX,16-09-2022,60987,Impossible Meatball Bowl,V,7,2
299,AUX,SFX,17-09-2022,60987,Impossible Meatball Bowl,V,8,0
2384,PHX,DEX,18-09-2022,58019,Belgium waffle,WF,8,4
1788,SFX,DEX,20-09-2022,58981,Scrambled eggs,O,26,11
2131,SMX,DEX,23-09-2022,60987,Impossible Meatball Bowl,V,8,0
1256,GEX,DEX,24-09-2022,61529,Zatar chicken,C,7,0
1843,IAX,DEX,30-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
2401,BOX,SFX,30-09-2022,60987,Impossible Meatball Bowl,V,8,0
1111,OGX,LAX,02-09-2022,60458,Crispy Hawaiian garlic tofu,V,6,2
1618,LAX,ORX,04-09-2022,60987,Impossible Meatball Bowl,V,5,5
2653,SFX,BOX,10-09-2022,61360,Brioche cheeseburger,B,2,0
2147,LAX,DEX,10-09-2022,60983,Zatar chicken,C,9,0
2441,ORX,AUX,01-09-2022,58764,Mediterranean Falafel Bowl,FB,1,0
2299,IAX,MCX,03-09-2022,58019,Belgium waffle,WF,8,0
2299,IAX,MCX,04-09-2022,58563,Tomato and kale baked egg,E,1,1
621,CMX,DEX,05-09-2022,58019,Belgium waffle,WF,8,0
2214,LAX,EWX,03-09-2022,15594,Vegetarian entree,VG,1,0
402,CLX,LAX,08-09-2022,58019,Belgium waffle,WF,8,8
1859,IAX,AUX,09-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
428,BOX,ORX,09-09-2022,60983,Zatar chicken,C,10,9
707,OGX,LAX,10-09-2022,32847,Gluten-free Meal,GF,1,0
497,DEX,MSX,10-09-2022,61529,Zatar chicken,C,4,3
1070,LAX,ORX,16-09-2022,60983,Zatar chicken,C,14,11
1299,ORX,GEX,16-09-2022,61360,Brioche cheeseburger,B,1,3
2111,ORX,SMX,17-09-2022,60983,Zatar chicken,C,12,0
1097,IAX,SJX,24-09-2022,58766,Gingerbread French Toast,FT,1,0
4739,SLX,ORX,30-09-2022,57994,Classic selection cheese tray,O,12,0
2270,DEX,RDX,10-09-2022,58981,Scrambled eggs,O,6,4
2447,FLX,EWX,14-09-2022,61529,Zatar chicken,C,7,0
518,JFX,LAX,15-09-2022,15594,Vegetarian entree,VG,2,2
2206,CMX,IAX,19-09-2022,58019,Belgium waffle,WF,12,0
2489,SJX,DEX,19-09-2022,61529,Zatar chicken,C,7,0
1530,SFX,SAX,20-09-2022,61530,Impossible Meatball Bowl,V,4,3
1766,SFX,DFX,23-09-2022,61360,Brioche cheeseburger,B,3,0
1922,IAX,SAX,24-09-2022,60983,Zatar chicken,C,10,0
2252,EWX,MEX,01-09-2022,60987,Impossible Meatball Bowl,V,4,4
2069,DEX,PWX,05-09-2022,61524,Scrambled eggs,O,7,7
522,JFX,SFX,06-09-2022,61945,Monterey jack and red pepper egg white bites,E,11,7
1949,IAX,SFX,08-09-2022,58981,Scrambled eggs,O,14,0
1913,INX,IAX,12-09-2022,60987,Impossible Meatball Bowl,V,6,3
2308,DEX,LIX,13-09-2022,58676,Butternut squash schnitzel,V,5,4
2607,LAX,IAX,16-09-2022,60983,Zatar chicken,C,20,10
2268,ORX,PDX,16-09-2022,60987,Impossible Meatball Bowl,V,6,0
2405,EWX,SDX,26-09-2022,58764,Mediterranean Falafel Bowl,FB,1,0
1893,DEX,BOX,27-09-2022,61360,Brioche cheeseburger,B,2,0
1792,LAX,ORX,28-09-2022,60987,Impossible Meatball Bowl,V,6,0
341,ATX,DEX,29-09-2022,58019,Belgium waffle,WF,8,0
540,SFX,OGX,29-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
1716,MCX,ORX,10-09-2022,61530,Impossible Meatball Bowl,V,5,0
1038,DEX,CHX,11-09-2022,58272,Horchata steel cut oatmeal,OM,1,0
1584,ORX,DFX,12-09-2022,61529,Zatar chicken,C,7,3
2357,SFX,AUX,13-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
223,IAX,SFX,24-09-2022,60987,Impossible Meatball Bowl,V,5,4
1229,IAX,DEX,25-09-2022,58981,Scrambled eggs,O,14,0
2453,ORX,RNX,03-09-2022,60987,Impossible Meatball Bowl,V,3,0
1462,EWX,SEX,04-09-2022,60987,Impossible Meatball Bowl,V,4,1
1432,LAX,HNX,04-09-2022,61360,Brioche cheeseburger,B,2,0
1691,EWX,DEX,05-09-2022,61360,Brioche cheeseburger,B,3,0
684,DEX,SFX,07-09-2022,60983,Zatar chicken,C,7,0
1260,SAX,IAX,08-09-2022,60987,Impossible Meatball Bowl,V,8,7
1107,DEX,INX,08-09-2022,61360,Brioche cheeseburger,B,3,0
409,BOX,ORX,13-09-2022,61529,Zatar chicken,C,7,0
1729,SFX,CLX,22-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
540,SFX,OGX,22-09-2022,53014,Thai chicken,C,7,0
2116,DEX,RNX,10-09-2022,60983,Zatar chicken,C,9,0
215,HNX,SFX,11-09-2022,52192,ASIAN VEGETARIAN MEAL,AV,1,1
1264,FAX,DEX,19-09-2022,58090,Classic selection cheese tray,O,12,7
1230,EWX,DFX,25-09-2022,60987,Impossible Meatball Bowl,V,6,0
2028,MSX,EWX,27-09-2022,61529,Zatar chicken,C,7,7
1890,SFX,INX,28-09-2022,60987,Impossible Meatball Bowl,V,6,0
2415,DEX,SBX,30-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
1466,EWX,PLX,05-09-2022,58563,Tomato and kale baked egg,E,1,0
659,AUX,EWX,07-09-2022,60987,Impossible Meatball Bowl,V,6,6
1253,DEX,RDX,07-09-2022,61530,Impossible Meatball Bowl,V,5,5
293,EWX,SEX,11-09-2022,60983,Zatar chicken,C,6,5
352,DCX,SFX,13-09-2022,60987,Impossible Meatball Bowl,V,12,9
2498,SEX,ORX,25-09-2022,60987,Impossible Meatball Bowl,V,6,4
1094,DEX,LAX,26-09-2022,58563,Tomato and kale baked egg,E,2,2
1287,AUX,LAX,30-09-2022,60987,Impossible Meatball Bowl,V,6,3
2430,ORX,BOX,28-09-2022,61524,Scrambled eggs,O,5,4
402,SMX,ORX,30-09-2022,60987,Impossible Meatball Bowl,V,6,1
2216,EWX,LAX,28-09-2022,58488,Tapas,O2,25,25
653,BWX,IAX,25-09-2022,60983,Zatar chicken,C,12,0
479,DEX,ORX,09-09-2022,60983,Zatar chicken,C,10,0
2268,ORX,PDX,13-09-2022,61360,Brioche cheeseburger,B,1,0
555,DEX,RNX,14-09-2022,61529,Zatar chicken,C,6,0
211,AUX,ORX,17-09-2022,61530,Impossible Meatball Bowl,V,5,0
619,IAX,TPX,19-09-2022,58766,Gingerbread French Toast,FT,2,1
627,PHX,ORX,20-09-2022,60987,Impossible Meatball Bowl,V,12,0
790,DEX,SNX,21-09-2022,61360,Brioche cheeseburger,B,4,4
728,PTX,EWX,25-09-2022,58105,Protein egg entree,O,11,11
1518,EWX,FLX,26-09-2022,58019,Belgium waffle,WF,14,0
2284,SNX,IAX,28-09-2022,60983,Zatar chicken,C,7,0
418,LAX,OGX,28-09-2022,58563,Tomato and kale baked egg,E,5,0
1419,DEX,MIX,16-09-2022,58981,Scrambled eggs,O,8,8
1257,RDX,DEX,27-09-2022,58981,Scrambled eggs,O,8,8
478,BOX,SFX,29-09-2022,60983,Zatar chicken,C,11,0
1468,DEX,EWX,18-09-2022,60983,Zatar chicken,C,16,0
524,JFX,SFX,19-09-2022,58488,Tapas,O2,8,8
2662,ORX,BZX,19-09-2022,58766,Gingerbread French Toast,FT,2,0
1483,FLX,DEX,19-09-2022,58019,Belgium waffle,WF,10,0
2477,SAX,DEX,24-09-2022,58981,Scrambled eggs,O,10,10
1872,IAX,PHX,24-09-2022,61529,Zatar chicken,C,6,3
289,AUX,ORX,27-09-2022,61529,Zatar chicken,C,7,5
1824,SFX,DEX,27-09-2022,61360,Brioche cheeseburger,B,2,0
1766,SFX,DFX,27-09-2022,61529,Zatar chicken,C2,3,0
1761,IAX,RDX,29-09-2022,58764,Mediterranean Falafel Bowl,FB,1,0
1955,SFX,DCX,21-09-2022,58019,Belgium waffle,WF,6,5
1170,ORX,COX,21-09-2022,58019,Belgium waffle,WF,14,0
1865,DEX,IAX,23-09-2022,58563,Tomato and kale baked egg,E,2,1
1256,GEX,DEX,28-09-2022,61529,Zatar chicken,C,7,5
2666,ORX,IAX,28-09-2022,61530,Impossible Meatball Bowl,V,4,0
1094,DEX,LAX,29-09-2022,58766,Gingerbread French Toast,FT,1,0
2106,ORX,LAX,30-09-2022,58563,Tomato and kale baked eggwhite pastry with fire ro,E,1,0
278,IAX,SFX,12-09-2022,58019,Belgium waffle,WF,20,8
315,DEX,TPX,12-09-2022,60987,Impossible Meatball Bowl,V,6,0
292,IAX,SMX,06-09-2022,60983,Zatar chicken,C,7,0
1793,IAX,EWX,09-09-2022,60987,Impossible Meatball Bowl,V,10,6
1286,IAX,SAX,25-09-2022,61360,Brioche cheeseburger,B,10,10
2422,MCX,ORX,03-09-2022,58981,Scrambled eggs,O,8,0
1443,EWX,PDX,15-09-2022,52133,Gluten-free Meal,GF,1,1
2260,IAX,MSX,09-09-2022,58019,Belgium waffle,WF,9,8
2207,IAX,DEX,05-09-2022,60987,Impossible Meatball Bowl,V,7,3
2613,PDX,EWX,11-09-2022,60983,Zatar chicken,C,12,4
544,IAX,MCX,22-09-2022,60987,Impossible Meatball Bowl,V,6,0
1069,IAX,LAX,29-09-2022,58981,Scrambled eggs,O,11,6
1968,DEX,MSX,06-09-2022,61360,Brioche cheeseburger,B,2,2
2401,BOX,SFX,03-09-2022,15594,Vegetarian entree,VG,1,1
1012,DEX,ORX,08-09-2022,60983,Zatar chicken,C,8,7
2359,IAX,SAX,11-09-2022,58981,Scrambled eggs,O,16,13
2284,SNX,IAX,10-09-2022,60983,Zatar chicken,C,7,0
2111,ORX,SMX,14-09-2022,60983,Zatar chicken,C,9,4
1729,SFX,CLX,24-09-2022,60983,Zatar chicken,C,14,0
729,DEX,PDX,29-09-2022,61530,Impossible Meatball Bowl,V,5,3
399,EWX,TPX,25-09-2022,60983,Zatar chicken,C,8,3
618,DEX,ORX,27-09-2022,60983,Zatar chicken,C,10,0
5349,DEX,DTX,27-09-2022,58040,Coconut chia oatmeal,OM,12,5
2672,IAX,SAX,28-09-2022,58574,Belgium waffle,WF,6,4
2189,DEX,FLX,21-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
1254,SAX,ORX,27-09-2022,61524,Scrambled eggs,O,6,6
1761,IAX,RDX,29-09-2022,60983,Zatar chicken,C,6,0
409,BOX,ORX,28-09-2022,61530,Impossible Meatball Bowl,V,5,3
1836,DEX,YYX,02-09-2022,58764,Mediterranean Falafel Bowl,FB,1,0
261,ABX,SFX,04-09-2022,61529,Zatar chicken,C,7,5
502,DEX,FLX,04-09-2022,60987,Impossible Meatball Bowl,V,10,0
752,EWX,LAX,04-09-2022,56447,Kosher Meal,KS,2,0
1482,SNX,IAX,07-09-2022,60987,Impossible Meatball Bowl,V,12,8
1729,SFX,CLX,08-09-2022,60983,Zatar chicken,C,7,0
2247,IAX,RSX,08-09-2022,61360,Brioche cheeseburger,B,3,0
568,ORX,MSX,12-09-2022,60983,Zatar chicken,C,20,0
1884,IAX,LAX,12-09-2022,58981,Scrambled eggs,O,28,14
2121,IAX,SEX,12-09-2022,61530,Impossible Meatball Bowl,V,5,4
2087,IAX,LAX,13-09-2022,60987,Impossible Meatball Bowl,V,4,3
2372,DFX,SFX,15-09-2022,61524,Scrambled eggs,O,6,6
1470,ORX,IAX,23-09-2022,61360,Brioche cheeseburger,B,12,0
1591,EWX,IAX,23-09-2022,61360,Brioche cheeseburger,B,4,0
1888,DEX,BDX,02-09-2022,60983,Zatar chicken,C,10,7
2471,RNX,DEX,02-09-2022,61530,Impossible Meatball Bowl,V,5,5
794,DEX,MKX,04-09-2022,60983,Zatar chicken,C,7,0
1230,EWX,MIX,04-09-2022,60983,Zatar chicken,C,10,7
1920,IAX,CZX,06-09-2022,60983,Zatar chicken,C,18,18
1730,DEX,EWX,06-09-2022,60987,Impossible Meatball Bowl,V,3,0
2651,LAX,HNX,06-09-2022,54759,Seared beef short rib,B,10,5
2667,DEX,SNX,10-09-2022,58272,Horchata steel cut oatmeal,OM,4,2
2247,ORX,IAX,02-09-2022,58019,Belgium waffle,WF,7,0
2359,IAX,SAX,03-09-2022,58563,Tomato and kale baked egg,E,1,1
1126,DEX,CUX,03-09-2022,60983,Zatar chicken,C,12,10
4660,ABX,ORX,04-09-2022,57994,Classic selection cheese tray,O,12,0
316,FLX,IAX,05-09-2022,60983,Zatar chicken,C,12,0
718,IAX,DEX,07-09-2022,60987,Impossible Meatball Bowl,V,22,20
1062,SJX,IAX,07-09-2022,60987,Impossible Meatball Bowl,V,2,4
2110,PIX,DEX,09-09-2022,58019,Belgium waffle,WF,20,8
1220,EWX,MCX,02-09-2022,60983,Zatar chicken,C,8,7
2486,ORX,DEX,03-09-2022,60987,Impossible Meatball Bowl,V,14,7
480,DEX,JAX,05-09-2022,61360,Brioche cheeseburger,B,5,0
2327,ORX,TPX,08-09-2022,58981,Scrambled eggs,O,20,10
1035,IAX,PTX,08-09-2022,61360,Brioche cheeseburger,B,2,1
2096,ORX,LAX,11-09-2022,60987,Impossible Meatball Bowl,V,54,10
1432,LAX,HNX,01-09-2022,54759,Seared beef short rib,B,8,0
1859,IAX,AUX,02-09-2022,61360,Brioche cheeseburger,B,3,0
1110,DEX,FAX,03-09-2022,61529,Zatar chicken,C,6,0
772,DEX,BNX,03-09-2022,58981,Scrambled eggs,O,20,15
1710,ORX,SAX,08-09-2022,58272,Horchata steel cut oatmeal,OM,4,2
2665,ORX,SMX,14-09-2022,61529,Zatar chicken,C,6,5
1689,IAX,IAX,15-09-2022,58563,Tomato and kale baked egg,E,2,0
1752,IAX,GUX,18-09-2022,58272,Horchata steel cut oatmeal,OM,2,0
1856,IAX,FLX,19-09-2022,61360,Brioche cheeseburger,B,4,0
516,JFX,LAX,20-09-2022,54076,Cacio e Pepe ravioli,P,10,10
2040,LAX,ORX,21-09-2022,58272,Horchata steel cut oatmeal,OM,1,1
2319,LGX,DEX,22-09-2022,61530,Impossible Meatball Bowl,V,5,3
1425,ORX,AUX,23-09-2022,61529,Zatar chicken,C,5,0
462,DEX,IAX,03-09-2022,61360,Brioche cheeseburger,B,2,1
2186,MCX,EWX,04-09-2022,58981,Scrambled eggs,O,8,0
398,EWX,MCX,04-09-2022,60987,Impossible Meatball Bowl,V,6,6
1841,DEX,IAX,02-09-2022,58019,Belgium waffle,WF,12,6
673,DEX,IAX,03-09-2022,61529,Zatar chicken,C,7,5
545,DEX,SMX,04-09-2022,61530,Impossible Meatball Bowl,V,5,3
728,PTX,EWX,06-09-2022,58106,Savory breakfast entree,BR,8,0
206,EWX,SJX,07-09-2022,58019,Belgium waffle,WF,8,8
2317,ORX,SAX,11-09-2022,60987,Impossible Meatball Bowl,V,16,16
