,flight_number,origin_station_code,destination_station_code,record_locator,scheduled_departure_date,score,arrival_delay_minutes,arrival_delay_group,cabin_name,entity,number_of_legs,seat_factor_band,loyalty_program_level,generation,fleet_type_description,fleet_usage,equipment_type_code,ua_uax,actual_flown_miles,haul_type,departure_gate,arrival_gate,international_domestic_indicator,response_group,media_provider,hub_spoke
1219,108,MUX,IAX,FPXXRS,2022-09-01,other (specify),-33,Early & Ontime,Economy,Atlantic,1,80+,non-elite,Gen X,B777-200,Mainline,77U,UA,4263,Long,H02,C8,International,member,PANASONIC,spoke departure
1221,107,IAX,MUX,EMXXVS,2022-09-01,chicken entrée,24,Delayed,Economy Plus,Atlantic,1,90+,Non-Members,Millennial,B777-200,Mainline,77U,UA,4263,Long,D21,H02,International,non-member,PANASONIC,hub departure
1225,108,MUX,IAX,C4XX83,2022-09-01,vegetarian entrée,-33,Early & Ontime,United Premium Plus,Atlantic,1,80+,non-elite,Silent,B777-200,Mainline,77U,UA,4263,Long,H02,C8,International,member,PANASONIC,spoke departure
1227,42,FCX,EWX,F2XXG2,2022-09-01,chicken entrée,-12,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Millennial,B777-300,Mainline,77X,UA,4292,Long,E43,C136,International,member,PANASONIC,spoke departure
1230,511,EWX,FCX,DHXX2L,2022-09-01,vegetarian entrée,3,Delayed,Business,Atlantic,1,90+,premier silver,Boomer,B777-200,Mainline,77N,UA,4292,Long,C75,704,International,member,PANASONIC,hub departure
1233,510,FCX,EWX,AKXXN7,2022-09-01,chicken entrée,67,Delayed,United Premium Plus,Atlantic,1,80+,non-elite,Gen X,B777-200,Mainline,77E,UA,4292,Long,E39,B55,International,member,PANASONIC,spoke departure
1236,908,ORX,FRX,GJXXGN,2022-09-01,chicken entrée,-10,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Gen Z,B787-10,Mainline,78J,UA,4344,Long,C29,A25,International,member,PANASONIC,hub departure
1239,908,ORX,FRX,BWXXK6,2022-09-01,other (specify),-10,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Millennial,B787-10,Mainline,78J,UA,4344,Long,C29,A25,International,non-member,PANASONIC,hub departure
1240,945,ORX,FRX,J2XXXS,2022-09-01,vegetarian entrée,38,Delayed,United Premium Plus,Atlantic,2,80+,premier 1k,Boomer,B787-10,Mainline,78J,UA,4344,Long,B16,A20,International,member,PANASONIC,hub departure
1241,965,EWX,NAX,GHXXN6,2022-09-01,seafood entrée,35,Delayed,Business,Atlantic,1,90+,premier gold,Boomer,B767-300,Mainline,76A,UA,4416,Long,C135,52,International,member,PANASONIC,hub departure
1243,13,ZRX,ORX,FWXXXJ,2022-09-01,chicken entrée,-28,Early & Ontime,Economy Plus,Atlantic,1,80+,Non-Members,Gen X,B767-300,Mainline,76L,UA,4443,Long,E42,M33,International,non-member,PANASONIC,spoke departure
1246,4,ORX,ZRX,PCXX8Y,2022-09-01,chicken entrée,-32,Early & Ontime,Business,Atlantic,1,90+,Non-Members,Millennial,B767-300,Mainline,76L,UA,4443,Long,C21,E43,International,non-member,PANASONIC,hub departure
1248,13,ZRX,ORX,L5XXRC,2022-09-01,chicken entrée,-28,Early & Ontime,United Premium Plus,Atlantic,1,80+,premier gold,Gen X,B767-300,Mainline,76L,UA,4443,Long,E42,M33,International,member,PANASONIC,spoke departure
1251,886,FCX,IAX,B2XXQR,2022-09-01,chicken entrée,-16,Early & Ontime,Business,Atlantic,1,0 to 70,Non-Members,Boomer,B787-8,Mainline,78H,UA,4505,Long,E31,C5,International,non-member,PANASONIC,spoke departure
1252,885,IAX,FCX,JNXX6L,2022-09-01,beef entrée,5,Delayed,United Premium Plus,Atlantic,1,90+,Non-Members,Boomer,B787-8,Mainline,78H,UA,4505,Long,D3,*707,International,non-member,PANASONIC,hub departure
1254,885,IAX,FCX,D3XXCT,2022-09-01,seafood entrée,5,Delayed,Business,Atlantic,1,90+,premier gold,Boomer,B787-8,Mainline,78H,UA,4505,Long,D3,*707,International,member,PANASONIC,hub departure
1260,953,MUX,ORX,LBXXKR,2022-09-01,chicken entrée,19,Delayed,Economy,Atlantic,1,70+,non-elite,Boomer,B787-10,Mainline,78J,UA,4530,Long,H08,M34,International,member,PANASONIC,spoke departure
1262,847,SCX,IAX,K4XXS4,2022-09-01,other (specify),-19,Early & Ontime,Business,Latin,1,80+,premier 1k,Millennial,B767-300,Mainline,76A,UA,4645,Long,E05,E4,International,member,PANASONIC,spoke departure
1264,28,DEX,LHX,KZXXZ7,2022-09-01,chicken entrée,-10,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Gen X,B787-9,Mainline,78P,UA,4671,Long,B36,249,International,member,PANASONIC,hub departure
1266,264,LHX,DEX,JSXX62,2022-09-01,chicken entrée,-12,Early & Ontime,United Premium Plus,Atlantic,1,0 to 70,Non-Members,Boomer,B787-9,Mainline,78P,UA,4671,Long,233,A33,International,non-member,PANASONIC,spoke departure
1270,263,DEX,LHX,M0XXL0,2022-09-01,chicken entrée,-14,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Gen X,B787-9,Mainline,78P,UA,4671,Long,B36,231,International,member,PANASONIC,hub departure
1272,971,ORX,FCX,F3XXWB,2022-09-01,vegetarian entrée,-2,Early & Ontime,Economy Plus,Atlantic,1,90+,non-elite,Silent,B787-8,Mainline,78H,UA,4823,Long,C18,*708,International,member,PANASONIC,hub departure
1273,972,FCX,ORX,MQXXY4,2022-09-01,vegetarian entrée,81,Delayed,United Premium Plus,Atlantic,1,0 to 70,non-elite,Boomer,B787-8,Mainline,78H,UA,4823,Long,E37,M39,International,member,PANASONIC,spoke departure
1277,971,ORX,FCX,IZXX36,2022-09-01,chicken entrée,-2,Early & Ontime,Economy Plus,Atlantic,2,90+,non-elite,Silent,B787-8,Mainline,78H,UA,4823,Long,C18,*708,International,member,PANASONIC,hub departure
1279,5,LHX,IAX,OJXXTM,2022-09-01,seafood entrée,8,Delayed,Business,Atlantic,1,0 to 70,premier 1k,Millennial,B787-9,Mainline,78P,UA,4834,Long,246,E18,International,member,PANASONIC,spoke departure
1281,881,IAX,LHX,BTXXJ9,2022-09-01,chicken entrée,79,Delayed,Economy,Atlantic,2,90+,Non-Members,Millennial,B777-200,Mainline,77E,UA,4834,Long,E7,231,International,non-member,PANASONIC,hub departure
1282,6,IAX,LHX,MJXXKH,2022-09-01,other (specify),1,Delayed,Business,Atlantic,1,90+,global services,Gen X,B787-9,Mainline,78P,UA,4834,Long,C7,242,International,member,PANASONIC,hub departure
1286,64,GRX,IAX,PBXX3Q,2022-09-01,other (specify),-9,Early & Ontime,Business,Latin,1,90+,global services,Gen X,B787-9,Mainline,78P,UA,4901,Long,323,E18,International,member,PANASONIC,spoke departure
1288,64,GRX,IAX,H0XXRN,2022-09-01,sandwich/burger/wrap,-9,Early & Ontime,Economy,Latin,1,90+,non-elite,Gen X,B787-9,Mainline,78P,UA,4901,Long,323,E18,International,member,PANASONIC,spoke departure
1291,364,EWX,HNX,ENXX56,2022-09-01,sandwich/burger/wrap,-23,Early & Ontime,Business,Domestic,1,80+,Non-Members,Boomer,B777-200,Mainline,77N,UA,4962,Long,C75,G6,Domestic,non-member,PANASONIC,hub departure
1292,364,EWX,HNX,HNXXWJ,2022-09-01,other (specify),-23,Early & Ontime,Business,Domestic,2,80+,premier 1k,Boomer,B777-200,Mainline,77N,UA,4962,Long,C75,G6,Domestic,member,PANASONIC,hub departure
1296,363,HNX,EWX,DGXXC5,2022-09-01,other (specify),-23,Early & Ontime,Economy,Domestic,1,90+,Non-Members,Millennial,B777-200,Mainline,77N,UA,4962,Long,G6,C98,Domestic,non-member,PANASONIC,spoke departure
1298,22,AMX,IAX,M2XXSK,2022-09-01,other (specify),83,Delayed,Economy,Atlantic,2,80+,Non-Members,Boomer,B777-200,Mainline,77E,UA,5013,Long,D7,E7,International,non-member,PANASONIC,spoke departure
1301,21,IAX,AMX,HSXXSQ,2022-09-01,other (specify),16,Delayed,Business,Atlantic,1,90+,Non-Members,Gen X,B777-200,Mainline,77E,UA,5013,Long,C7,D3,International,non-member,PANASONIC,hub departure
1306,129,GIX,IAX,MPXXMB,2022-09-01,chicken entrée,-12,Early & Ontime,Economy Plus,Latin,1,90+,premier 1k,Gen X,B767-300,Mainline,76A,UA,5016,Long,C47,E20,International,member,PANASONIC,spoke departure
1308,129,GIX,IAX,OQXXF3,2022-09-01,seafood entrée,-12,Early & Ontime,Business,Latin,1,90+,non-elite,Gen X,B767-300,Mainline,76A,UA,5016,Long,C47,E20,International,member,PANASONIC,spoke departure
1311,183,DEX,FRX,IEXX46,2022-09-01,chicken entrée,-23,Early & Ontime,Economy,Atlantic,2,90+,non-elite,Gen X,B787-9,Mainline,78P,UA,5040,Long,B32,A19,International,member,PANASONIC,hub departure
1314,820,IAX,EZX,CJXXRR,2022-09-01,chicken entrée,127,Delayed,Economy,Latin,2,90+,Non-Members,Gen X,B777-200,Mainline,77E,UA,5062,Long,E7,13,International,non-member,PANASONIC,hub departure
1317,819,EZX,IAX,D1XXMZ,2022-09-01,beef entrée,-11,Early & Ontime,Economy,Latin,1,80+,Non-Members,Boomer,B777-200,Mainline,77E,UA,5062,Long,14,E7,International,non-member,PANASONIC,spoke departure
1319,820,IAX,EZX,MVXXSN,2022-09-01,other (specify),127,Delayed,Business,Latin,2,90+,premier 1k,Boomer,B777-200,Mainline,77E,UA,5062,Long,E7,13,International,member,PANASONIC,hub departure
1321,984,ATX,IAX,OCXX83,2022-09-01,beef entrée,57,Delayed,Business,Atlantic,1,90+,non-elite,Millennial,B787-8,Mainline,78H,UA,5168,Long,A18,C1,International,member,PANASONIC,spoke departure
1322,983,IAX,ATX,GSXXVZ,2022-09-01,chicken entrée,36,Delayed,Economy,Atlantic,1,90+,Non-Members,Gen Z,B787-8,Mainline,78H,UA,5168,Long,D25,HOLD,International,non-member,PANASONIC,hub departure
1325,846,ORX,GRX,C1XXNV,2022-09-01,beef entrée,8,Delayed,Business,Latin,1,80+,non-elite,Gen X,B787-9,Mainline,78P,UA,5222,Long,C18,601,International,member,PANASONIC,hub departure
1327,846,ORX,GRX,INXXXP,2022-09-01,chicken entrée,8,Delayed,United Premium Plus,Latin,1,80+,premier silver,Gen X,B787-9,Mainline,78P,UA,5222,Long,C18,601,International,member,PANASONIC,hub departure
1330,761,DEX,MUX,P3XXHQ,2022-09-01,chicken entrée,128,Delayed,Economy Plus,Atlantic,2,90+,non-elite,Gen X,B787-9,Mainline,78P,UA,5225,Long,B32,H02,International,member,PANASONIC,hub departure
1333,761,DEX,MUX,CSXXK8,2022-09-01,chicken entrée,128,Delayed,Economy Plus,Atlantic,2,90+,Non-Members,Gen X,B787-9,Mainline,78P,UA,5225,Long,B32,H02,International,non-member,PANASONIC,hub departure
1334,762,MUX,DEX,M5XX2J,2022-09-01,chicken entrée,2,Delayed,Economy,Atlantic,2,70+,Non-Members,Gen Z,B787-9,Mainline,78P,UA,5225,Long,H08,A33,International,non-member,PANASONIC,spoke departure
1336,47,IAX,FRX,E6XXRL,2022-09-01,other (specify),15,Delayed,Economy,Atlantic,2,90+,Non-Members,Millennial,B777-200,Mainline,77U,UA,5233,Long,E5,A15,International,non-member,PANASONIC,hub departure
1341,998,ACX,IAX,P7XXV4,2022-09-01,chicken entrée,-8,Early & Ontime,Economy,Atlantic,1,90+,premier silver,Millennial,B787-8,Mainline,78H,UA,5296,Long,C2,C3,International,member,PANASONIC,spoke departure
1342,998,ACX,IAX,D7XXPB,2022-09-01,chicken entrée,-8,Early & Ontime,United Premium Plus,Atlantic,1,90+,non-elite,Boomer,B787-8,Mainline,78H,UA,5296,Long,C2,C3,International,member,PANASONIC,spoke departure
1346,902,SFX,LHX,J3XXW9,2022-09-01,chicken entrée,-11,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Gen X,B777-200,Mainline,77E,UA,5368,Long,G12,247,International,member,PANASONIC,hub departure
1347,950,LHX,SFX,G0XXYG,2022-09-01,other (specify),0,Early & Ontime,Business,Atlantic,1,0 to 70,non-elite,Boomer,B777-200,Mainline,77E,UA,5368,Long,238,G1,International,member,PANASONIC,spoke departure
1349,940,LHX,SFX,FPXXD4,2022-09-01,other (specify),-12,Early & Ontime,Business,Atlantic,1,70+,non-elite,Boomer,B787-9,Mainline,78P,UA,5368,Long,238,G8,International,member,PANASONIC,spoke departure
1350,940,LHX,SFX,MGXX7W,2022-09-01,other (specify),-12,Early & Ontime,Economy Plus,Atlantic,2,70+,Non-Members,Boomer,B787-9,Mainline,78P,UA,5368,Long,238,G8,International,non-member,PANASONIC,spoke departure
1352,950,LHX,SFX,F8XX9Y,2022-09-01,chicken entrée,0,Early & Ontime,Economy,Atlantic,2,0 to 70,Non-Members,Boomer,B777-200,Mainline,77E,UA,5368,Long,238,G1,International,non-member,PANASONIC,spoke departure
1355,931,SFX,LHX,AGXX8W,2022-09-01,chicken entrée,-12,Early & Ontime,Economy Plus,Atlantic,1,90+,premier platinum,Boomer,B787-9,Mainline,78P,UA,5368,Long,G3,247,International,member,PANASONIC,hub departure
1356,902,SFX,LHX,MMXXMF,2022-09-01,seafood entrée,-11,Early & Ontime,Business,Atlantic,1,90+,premier 1k,Boomer,B777-200,Mainline,77E,UA,5368,Long,G12,247,International,member,PANASONIC,hub departure
1357,950,LHX,SFX,B5XX0Z,2022-09-01,vegetarian entrée,0,Early & Ontime,Business,Atlantic,1,0 to 70,premier silver,Boomer,B777-200,Mainline,77E,UA,5368,Long,238,G1,International,member,PANASONIC,spoke departure
1359,931,SFX,LHX,IDXXP9,2022-09-01,beef entrée,-12,Early & Ontime,United Premium Plus,Atlantic,1,90+,non-elite,Boomer,B787-9,Mainline,78P,UA,5368,Long,G3,247,International,member,PANASONIC,hub departure
1365,940,LHX,SFX,CHXX9M,2022-09-01,chicken entrée,-12,Early & Ontime,Business,Atlantic,1,70+,premier gold,Silent,B787-9,Mainline,78P,UA,5368,Long,238,G8,International,member,PANASONIC,spoke departure
1368,613,IAX,LOX,MBXXJF,2022-09-01,beef entrée,57,Delayed,United Premium Plus,Atlantic,1,80+,non-elite,Gen X,B787-8,Mainline,78H,UA,5442,Long,C1,HOLD,International,member,PANASONIC,hub departure
1370,34,NRX,LAX,C4XXFC,2022-09-01,chicken entrée,-29,Early & Ontime,Economy,Pacific,1,90+,non-elite,Silent,B787-9,Mainline,78P,UA,5451,Long,31,74,International,member,PANASONIC,spoke departure
1373,924,LAX,LHX,K1XXJQ,2022-09-01,beef entrée,-33,Early & Ontime,Business,Atlantic,1,90+,non-elite,Boomer,B787-9,Mainline,78Z,UA,5456,Long,74,241,International,member,PANASONIC,hub departure
1374,924,LAX,LHX,NWXX52,2022-09-01,chicken entrée,-33,Early & Ontime,Economy Plus,Atlantic,1,90+,non-elite,Boomer,B787-9,Mainline,78Z,UA,5456,Long,74,241,International,member,PANASONIC,hub departure
1375,936,LHX,LAX,AWXXDM,2022-09-01,seafood entrée,3,Delayed,Business,Atlantic,2,0 to 70,Non-Members,Boomer,B787-9,Mainline,78P,UA,5456,Long,232,74,International,non-member,PANASONIC,spoke departure
1378,970,AMX,SFX,B6XX8V,2022-09-01,chicken entrée,-3,Early & Ontime,Economy,Atlantic,1,0 to 70,Non-Members,Boomer,B787-9,Mainline,78P,UA,5473,Long,G6,G3,International,non-member,PANASONIC,spoke departure
1381,991,SFX,CDX,GQXX3T,2022-09-01,seafood entrée,-12,Early & Ontime,Business,Atlantic,1,90+,Non-Members,Gen X,B777-200,Mainline,77N,UA,5583,Long,G2,A9,International,non-member,PANASONIC,hub departure
1383,985,CDX,SFX,A3XXMR,2022-09-01,other (specify),4,Delayed,Economy,Atlantic,1,70+,non-elite,Gen X,B777-200,Mainline,77N,UA,5583,Long,A4,G2,International,member,PANASONIC,spoke departure
1385,991,SFX,CDX,MYXXR8,2022-09-01,beef entrée,-12,Early & Ontime,Business,Atlantic,1,90+,premier 1k,Silent,B777-200,Mainline,77N,UA,5583,Long,G2,A9,International,member,PANASONIC,hub departure
1389,985,CDX,SFX,L4XXEQ,2022-09-01,other (specify),4,Delayed,Business,Atlantic,1,70+,premier silver,Boomer,B777-200,Mainline,77N,UA,5583,Long,A4,G2,International,member,PANASONIC,spoke departure
1390,991,SFX,CDX,M5XXZ6,2022-09-01,vegetarian entrée,-12,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Gen Z,B777-200,Mainline,77N,UA,5583,Long,G2,A9,International,non-member,PANASONIC,hub departure
1395,893,ICX,SFX,FVXXZX,2022-09-01,beef entrée,-40,Early & Ontime,Economy Plus,Pacific,2,90+,non-elite,Millennial,B787-9,Mainline,78P,UA,5659,Long,31,G1,International,member,PANASONIC,spoke departure
1396,85,EWX,TLX,DWXX3H,2022-09-01,vegetarian entrée,11,Delayed,Business,Atlantic,1,90+,Non-Members,Millennial,B787-10,Mainline,78J,UA,5692,Long,C138,B7,International,non-member,PANASONIC,hub departure
1401,86,TLX,EWX,FKXXKQ,2022-09-01,vegetarian entrée,-16,Early & Ontime,Business,Atlantic,1,90+,premier 1k,Millennial,B787-10,Mainline,78J,UA,5692,Long,B9,B67A,International,member,PANASONIC,spoke departure
1402,86,TLX,EWX,HEXX5G,2022-09-01,beef entrée,-16,Early & Ontime,Business,Atlantic,2,90+,premier 1k,Boomer,B787-10,Mainline,78J,UA,5692,Long,B9,B67A,International,member,PANASONIC,spoke departure
1403,927,SFX,FRX,BYXXWB,2022-09-01,chicken entrée,6,Delayed,United Premium Plus,Atlantic,1,90+,Non-Members,Gen X,B777-300,Mainline,77X,UA,5700,Long,G6,A20,International,non-member,PANASONIC,hub departure
1407,927,SFX,FRX,I1XX64,2022-09-01,vegetarian entrée,6,Delayed,Economy Plus,Atlantic,2,90+,Non-Members,Gen X,B777-300,Mainline,77X,UA,5700,Long,G6,A20,International,non-member,PANASONIC,hub departure
1408,59,SFX,FRX,AVXXFP,2022-09-01,sandwich/burger/wrap,-6,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Boomer,B777-300,Mainline,77X,UA,5700,Long,G10,A20,International,non-member,PANASONIC,hub departure
1409,927,SFX,FRX,ESXX54,2022-09-01,beef entrée,6,Delayed,United Premium Plus,Atlantic,1,90+,Non-Members,Gen X,B777-300,Mainline,77X,UA,5700,Long,G6,A20,International,non-member,PANASONIC,hub departure
1411,59,SFX,FRX,JZXXE7,2022-09-01,chicken entrée,-6,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Gen X,B777-300,Mainline,77X,UA,5700,Long,G10,A20,International,non-member,PANASONIC,hub departure
1413,46,ZRX,SFX,HDXXDM,2022-09-01,other (specify),16,Delayed,Business,Atlantic,1,70+,non-elite,Boomer,B777-200,Mainline,77E,UA,5841,Long,E42,G5,International,member,PANASONIC,spoke departure
1414,45,SFX,ZRX,CWXX1T,2022-09-01,beef entrée,33,Delayed,Business,Atlantic,1,90+,premier 1k,Boomer,B777-200,Mainline,77E,UA,5841,Long,G7,E42,International,member,PANASONIC,hub departure
1417,45,SFX,ZRX,HYXXNX,2022-09-01,vegetarian entrée,33,Delayed,Business,Atlantic,1,90+,premier 1k,Millennial,B777-200,Mainline,77E,UA,5841,Long,G7,E42,International,member,PANASONIC,hub departure
1418,45,SFX,ZRX,J9XXXG,2022-09-01,vegetarian entrée,33,Delayed,Business,Atlantic,1,90+,premier gold,Boomer,B777-200,Mainline,77E,UA,5841,Long,G7,E42,International,member,PANASONIC,hub departure
1424,195,SFX,MUX,FDXXV3,2022-09-01,seafood entrée,9,Delayed,Business,Atlantic,2,90+,premier gold,Boomer,B777-300,Mainline,77X,UA,5889,Long,G5,H08,International,member,PANASONIC,hub departure
1432,526,IAX,AMX,CDXXQ2,2022-09-01,chicken entrée,15,Delayed,Business,Atlantic,1,90+,non-elite,Boomer,B787-8,Mainline,78H,UA,5965,Long,C14,N04,International,member,PANASONIC,hub departure
1433,526,IAX,AMX,CEXX21,2022-09-01,chicken entrée,15,Delayed,Business,Atlantic,1,90+,non-elite,Boomer,B787-8,Mainline,78H,UA,5965,Long,C14,N04,International,member,PANASONIC,hub departure
1434,526,IAX,AMX,NXXX9C,2022-09-01,seafood entrée,15,Delayed,Business,Atlantic,1,90+,premier 1k,Gen X,B787-8,Mainline,78H,UA,5965,Long,C14,N04,International,member,PANASONIC,hub departure
1435,526,IAX,AMX,BZXX7M,2022-09-01,seafood entrée,15,Delayed,Business,Atlantic,1,90+,premier 1k,Gen X,B787-8,Mainline,78H,UA,5965,Long,C14,N04,International,member,PANASONIC,hub departure
1446,84,DEX,EWX,PCXXR6,2022-09-01,vegetarian entrée,-20,Early & Ontime,Business,Atlantic,1,90+,premier 1k,Gen X,B787-9,Mainline,78Z,UA,7323,Long,26,B65,International,member,PANASONIC,spoke departure
1450,871,SYX,SFX,PBXXEP,2022-09-01,chicken entrée,-10,Early & Ontime,Economy,Pacific,2,90+,Non-Members,Gen X,B777-300,Mainline,77X,UA,7417,Long,58,G9,International,non-member,PANASONIC,spoke departure
1451,871,SYX,SFX,NKXX12,2022-09-01,vegetarian entrée,-10,Early & Ontime,United Premium Plus,Pacific,3,90+,Non-Members,Gen X,B777-300,Mainline,77X,UA,7417,Long,58,G9,International,non-member,PANASONIC,spoke departure
1453,955,SFX,TLX,F2XXEW,2022-09-01,chicken entrée,22,Delayed,Economy,Atlantic,2,80+,non-elite,Millennial,B777-200,Mainline,77E,UA,7421,Long,G5,B7,International,member,PANASONIC,hub departure
1457,713,ORX,DEX,PWXXVL,2022-09-01,chicken entrée,26,Delayed,Economy,Atlantic,2,90+,non-elite,Millennial,B787-9,Mainline,78P,UA,7483,Long,C16,HOLD,International,member,PANASONIC,hub departure
1461,714,DEX,ORX,FXXXEQ,2022-09-01,vegetarian entrée,-39,Early & Ontime,United Premium Plus,Atlantic,2,70+,non-elite,Gen X,B787-9,Mainline,78P,UA,7483,Long,HOLD,M24,International,member,PANASONIC,spoke departure
1464,840,LAX,SYX,DDXXSB,2022-09-01,snack basket selection,-12,Early & Ontime,Business,Pacific,1,80+,non-elite,Millennial,B787-9,Mainline,78P,UA,7487,Long,74,53,International,member,PANASONIC,hub departure
1466,843,SYX,LAX,G2XXJJ,2022-09-01,beef entrée,13,Delayed,Business,Pacific,3,90+,premier 1k,Boomer,B787-9,Mainline,78P,UA,7487,Long,51,156,International,member,PANASONIC,spoke departure
1474,1124,CPX,EWX,G7XX4S,2022-09-01,vegetarian entrée,-52,Early & Ontime,Economy Plus,Atlantic,1,90+,non-elite,Boomer,B787-9,Mainline,78P,UA,7815,Long,A6,B65,International,member,PANASONIC,spoke departure
1475,1124,CPX,EWX,MPXXK6,2022-09-01,other (specify),-52,Early & Ontime,Business,Atlantic,1,90+,premier platinum,Boomer,B787-9,Mainline,78P,UA,7815,Long,A6,B65,International,member,PANASONIC,spoke departure
1476,1124,CPX,EWX,IZXXX4,2022-09-01,seafood entrée,-52,Early & Ontime,Business,Atlantic,1,90+,premier platinum,Boomer,B787-9,Mainline,78P,UA,7815,Long,A6,B65,International,member,PANASONIC,spoke departure
1477,1124,CPX,EWX,GEXXJF,2022-09-01,other (specify),-52,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Gen X,B787-9,Mainline,78P,UA,7815,Long,A6,B65,International,member,PANASONIC,spoke departure
1483,188,JNX,EWX,F8XXVT,2022-09-01,chicken entrée,-36,Early & Ontime,Economy Plus,Atlantic,1,70+,premier gold,Boomer,B787-9,Mainline,78P,UA,7989,Long,A11,B55,International,member,PANASONIC,spoke departure
1484,188,JNX,EWX,AZXXWW,2022-09-01,beef entrée,-36,Early & Ontime,Business,Atlantic,2,70+,premier silver,Boomer,B787-9,Mainline,78P,UA,7989,Long,A11,B55,International,member,PANASONIC,spoke departure
1487,189,EWX,JNX,OJXXHB,2022-09-01,chicken entrée,15,Delayed,Economy Plus,Atlantic,2,90+,premier silver,Boomer,B787-9,Mainline,78P,UA,7989,Long,C126,HOLD,International,member,PANASONIC,hub departure
1491,189,EWX,JNX,LPXXYL,2022-09-01,vegetarian entrée,15,Delayed,Economy Plus,Atlantic,2,90+,Non-Members,Millennial,B787-9,Mainline,78P,UA,7989,Long,C126,HOLD,International,non-member,PANASONIC,hub departure
1492,188,JNX,EWX,J6XXZ1,2022-09-01,chicken entrée,-36,Early & Ontime,Economy Plus,Atlantic,1,70+,non-elite,Gen X,B787-9,Mainline,78P,UA,7989,Long,A11,B55,International,member,PANASONIC,spoke departure
1494,189,EWX,JNX,M4XX4V,2022-09-01,chicken entrée,15,Delayed,Economy,Atlantic,2,90+,Non-Members,Boomer,B787-9,Mainline,78P,UA,7989,Long,C126,HOLD,International,non-member,PANASONIC,hub departure
1496,188,JNX,EWX,JLXXPE,2022-09-01,other (specify),-36,Early & Ontime,Business,Atlantic,1,70+,premier silver,Gen X,B787-9,Mainline,78P,UA,7989,Long,A11,B55,International,member,PANASONIC,spoke departure
1498,2,SFX,SIX,FJXX2N,2022-09-01,other (specify),63,Delayed,Business,Pacific,1,90+,global services,Gen X,B787-9,Mainline,78P,UA,8440,Long,G8,F52,International,member,PANASONIC,hub departure
1499,2,SFX,SIX,OTXX63,2022-09-01,chicken entrée,63,Delayed,Economy,Pacific,2,90+,non-elite,Gen X,B787-9,Mainline,78P,UA,8440,Long,G8,F52,International,member,PANASONIC,hub departure
1502,2,SFX,SIX,GGXX2V,2022-09-01,sandwich/burger/wrap,63,Delayed,Economy Plus,Pacific,2,90+,non-elite,Gen X,B787-9,Mainline,78P,UA,8440,Long,G8,F52,International,member,PANASONIC,hub departure
1504,2,SFX,SIX,JZXX0Q,2022-09-01,chicken entrée,63,Delayed,Economy,Pacific,2,90+,non-elite,Gen X,B787-9,Mainline,78P,UA,8440,Long,G8,F52,International,member,PANASONIC,hub departure
1540,1063,DTX,ORX,LCXXC4,2022-09-02,vegetarian entrée,-18,Early & Ontime,Business,Domestic,2,90+,non-elite,Boomer,A319-100,Mainline,19F,UA,235,Short,D4,C27,Domestic,member,PANASONIC,spoke departure
1544,5498,STX,ORX,AJXXC1,2022-09-02,other (specify),-28,Early & Ontime,Business,Domestic,2,90+,premier 1k,Gen X,ERJ-175,Express,E75,UAX,258,Short,A18,B20,Domestic,member,GOGO,spoke departure
1743,2238,ORX,EWX,EPXXYZ,2022-09-02,beef entrée,-22,Early & Ontime,Business,Domestic,2,90+,premier platinum,Boomer,B737-800,Mainline,73Y,UA,719,Medium,B6,C121,Domestic,member,THALES,hub departure
1798,1543,SFX,YVX,O1XX8V,2022-09-02,chicken entrée,28,Delayed,Economy,Domestic,2,90+,non-elite,Gen X,B737-800,Mainline,73Y,UA,800,Medium,E13,E78,Domestic,member,THALES,hub departure
1800,2416,RNX,DEX,AGXX6X,2022-09-02,other (specify),-10,Early & Ontime,Business,Domestic,2,90+,premier silver,Gen X,A320-200,Mainline,20S,UA,804,Medium,C5,A41,Domestic,member,PANASONIC,spoke departure
1802,497,RNX,DEX,DTXXKM,2022-09-02,vegetarian entrée,-14,Early & Ontime,Business,Domestic,1,90+,premier silver,Silent,A320-200,Mainline,20S,UA,804,Medium,C7,B24,Domestic,member,PANASONIC,spoke departure
1811,6135,GDX,IAX,JKXXBL,2022-09-02,snack basket selection,6,Delayed,Business,Latin,1,90+,premier 1k,Boomer,ERJ-175,Express,E7A,UAX,820,Medium,D41,E15,International,member,GOGO,spoke departure
1814,5257,GEX,DEX,N1XX3L,2022-09-02,chicken entrée,-23,Early & Ontime,Business,Domestic,2,90+,non-elite,Gen X,ERJ-175,Express,E75,UAX,836,Medium,B1,B54,Domestic,member,GOGO,spoke departure
1821,407,SNX,DEX,NFXXFW,2022-09-02,vegetarian entrée,-20,Early & Ontime,Business,Domestic,1,90+,non-elite,Gen X,B737-800,Mainline,73Y,UA,846,Medium,9,B20,Domestic,member,THALES,spoke departure
